名 称,,,摘 要,,単位,,,Ａ 種,,Ｂ 種,,備 考,
つや有合成樹脂 エマルションペイント,,,JIS K 5660,,kg,,,0.2,,0.2,,,
塗 装 工,,,,,人,,,0.029,,0.029,,,
そ の 他,,,,,式,,,1,,1,,,
