,外装壁モザイクタイル(ユニットタイル マスク張り) (1㎡・1ｍ当たり),,,,,,,,,,,,,
名 称,,摘 要,,単位,,平物(㎡当たり),,,,役物(ｍ当たり),,,,備 考
,,,,,,50角 平 45 ×45㎜,,50二丁 平 95 ×45㎜,,50角 曲がり (45+45) ×45㎜,,50二丁 曲がり (95+45) ×45㎜,50二丁 屏風曲 95×(45 +45)㎜,
モザイクユニットタイル,,,,ｼｰﾄ,,11.5,,11.5,,3.5,,3.5,3.5,
セ メ ン ト,,,,kg,,4.2,,4.1,,0.39,,0.57,0.38,
細 骨 材,,砂,,ｍ3,,0.003,,0.003,,0.0003,,0.0005,0.0003,
タ イ ル 工,,,,人,,0.21,,0.21,,0.08,,0.08,0.08,
普通作業員,,,,人,,0.1,,0.1,,0.022,,0.022,0.022,
そ の 他,,,,式,,1,,1,,1,,1,1,
