１㎡当たり鋼材使用量による増減率,,,,,,,,,,,,,,,,,,,,
１㎡当たり 鋼 材 使 用 量(㎏),,５０ 未満,,５０以上 ５５未満,,５５以上 ６０未満,６０以上 ６５未満,,６５以上 ７０未満,,,７０以上 ８０未満,,８０以上 ９０未満,,９０以上 １１０未満,１１０以上 １３０未満,１３０以上 １５０未満,１５０以上 １９０未満,１９０以上 ２５０未満
増 減 率,,1.3,,1.26,,1.22,1.18,,1.14,,,1.1,,1.05,,1,0.95,0.89,0.84,0.77
