,コンクリート打設手間(小型構造物)                 (1ｍ3当たり),,,,,,,
名 称,,摘 要,単位,人力打設,,,,備 考
,,,,工作物の基礎等,,,"擁壁,囲障の基礎等",
特殊作業員 そ の 他,,,人 式,0.651,,,0.431,
