,内装壁タイル(改良積上げ張り) (1㎡当たり),,,,,,,,,,,,,
名 称,,摘 要,単位,,100㎜角,,備 考,,,,,,,
内装タイル,,,枚,,102,,,,,,,,,
セ メ ン ト,,,kg,,5.8,,,,,,,,,
細 骨 材,,砂,ｍ3,,0.019,,,,,,,,,
タ イ ル 工,,,人,,0.25,,,,,,,,,
普通作業員,,,人,,0.08,,,,,,,,,
そ の 他,,,式,,1,,,,,,,,,
