名 称,,摘 要,,単位,,パラペット 糸幅=500mm,,笠木 糸幅=340mm,,水切 糸幅=170mm,,,窓台 糸幅=150mm,,備 考,
セメント,,,,kg,,6.5,,4.4,,2.2,,,2,,,
細 骨 材,,砂,,ｍ3,,0.015,,0.01,,0.005,,,0.005,,,
左 官,,,,人,,0.18,,0.1,,0.07,,,0.08,,,
普通作業員,,,,人,,0.015,,0.01,,0.005,,,0.005,,,
そ の 他,,,,式,,1,,1,,1,,,1,,,
