名 称,,,,,摘 要,,単位,,,ＲＡ種 (塗替え面),ＲＢ種 (塗替え面),,,ＲＣ種 (塗替え面),,,備 考,,
反応形合成樹脂シーラー および弱溶剤系反応形,,,,,JASS 18 M-201,,kg,,,0.1,0.1,,,―,,,,,
合成樹脂シーラー 合成樹脂エマルションパテ,,,,,JIS K 5669(一般形),,kg,,,0.21,0.06,,,―,,,,,
研 磨 紙,,,,,P120～220,,枚,,,0.13,0.07,,,―,,,,,
研 磨 紙,,,,,P240～320,,枚,,,―,―,,,0.07,,,,,
塗  装   工 そ  の   他,,,,,,,人 式,,,0.0391,0.0181,,,0.0041,,,,,
