床モルタル塗り (1㎡当たり),,,,,,,,,,,,,,
名 称,,摘 要,単位,,ビニル系 床材下地,,モルタル 仕上げ,,ユニット タイル下地,,,一 般 タイル下地,防 水 下 地,備 考
セメント,,,kg,,11.1,,16.9,,11,,,18.4,9,
細 骨 材,,砂,ｍ3,,0.037,,0.035,,0.027,,,0.046,0.022,
左 官,,,人,,0.045,,0.045,,0.04,,,0.05,0.04,
普通作業員,,,人,,0.034,,0.036,,0.026,,,0.044,0.022,
そ の 他,,,式,,1,,1,,1,,,1,1,
