,【標仕仕様】モルタル面及びせっこうプラスター面の素地ごしらえ (1㎡当たり),,,,,,,,,,,,,,
名 称,,,,摘 要,,単位,,,Ａ 種,,Ｂ 種,,付着物除去,備 考,
合成樹脂エマルションシーラー,,,,JIS K 5663,,kg,,,0.1,,0.1,,―,,
合成樹脂エマルションパテ,,,,JIS K 5669(耐水形),,kg,,,0.23,,0.08,,―,,
研 磨 紙,,,,P120～220,,枚,,,0.13,,0.07,,―,,
塗 装 工,,,,,,人,,,0.041,,0.019,,0.002,,
そ の 他,,,,,,式,,,1,,1,,1,,
