,積込機械,クラムシェル,,,油圧ロープ式クローラ型0.6ｍ3,,,,,,,,,,,,,,
,運搬機種,ダンプトラック 10t積級,,,,,,,,,,,,,,,,,
,ＤＩＤ区間：無し,,,,,,,,,,,,,,,,,,
,運搬距離,0.5,1,2,3.5,4.5,5.5,7,9.5,,13,19.5,,37.5,60,,,,
,(km),以下,以下,以下,以下,以下,以下,以下,以下,,以下,以下,,以下,以下,,,,
,運搬日数,0.059,0.067,0.077,0.091,0.111,0.125,0.143,0.167,,0.2,0.25,,0.333,0.5,,,,
,ＤＩＤ区間：有り,,,,,,,,,,,,,,,,,,
,運搬距離,0.5,1,2,3.5,4,5,6.5,8.5,,12,17,,28,60,,,,
,(km),以下,以下,以下,以下,以下,以下,以下,以下,,以下,以下,,以下,以下,,,,
,運搬日数,0.059,0.067,0.077,0.091,0.111,0.125,0.143,0.167,,0.2,0.25,,0.333,0.5,,,,
