,【標仕仕様】けい酸カルシウム板面の素地ごしらえ (1㎡当たり),,,,,,,,,,,,,
名 称,,,摘 要,単位,Ａ 種,,,Ｂ 種,,備 考,,,,
反応形合成樹脂シーラーおよび弱,,,JASS 18 M-201,kg,0.1,,,0.1,,,,,,
溶剤系反応形合成樹脂シーラー,,,,,,,,,,,,,,
合成樹脂エマルションパテ,,,JIS K 5669(一般形),kg,0.2,,,0.05,,,,,,
研 磨 紙,,,P120～220,枚,0.13,,,0.07,,,,,,
塗 装 工,,,,人,0.038,,,0.017,,,,,,
そ の 他,,,,式,1,,,1,,,,,,
