,砂利地業                               (1ｍ3当たり),,,,,,,,,,,,,,
名 称,,,摘 要,,単位,,ｸﾗｯｼｬﾗﾝ,,,,,再生ｸﾗｯｼｬﾗﾝ,,,備 考
砂 利,,,,,ｍ3,,1.1,,,,,1.1,,,
普通作業員,,,,,人,,0.2,,,,,0.2,,,
そ の 他,,,,,式,,1,,,,,1,,,
