,ビニル幅木張り (1ｍ当たり),,,,,,,,,,
名 称,,摘 要,,単位,ビニル幅木,,,,備 考,,
,,,,,一般,,階段ささら,,,,
ビ ニ  ル 幅  木 ビ ニ  ル 幅  木 接    着   剤 内    装   工 そ    の   他,,階段ささら用 ビニル系床材用,,ｍ ｍ kg 人 式,1.05 ─ 0.02 0.015 1,,─ 0.54 0.04 0.06 1,,,,
