,根切り つぼ掘り及び布掘り(バックホウ0.45ｍ3)                  (1ｍ3当たり),,,,,
名 称,,摘 要,単位,所要量,,備 考
バックホウ運転,,0.45ｍ3,日,0.017,,
普通作業員,,,人,0.015,,
そ の 他,,,式,1,,
