,"強化ガラス(厚10,12mm) (1㎡当たり)",,,,,,,,,,,,,
名 称,,摘 要,単位,厚10mm 特寸2.0㎡以下,厚10mm 特寸4.0㎡以下,,厚12mm 特寸2.0㎡以下,,厚12mm 特寸4.0㎡以下,,,備 考,,
強化ガラス,,,㎡,1,1,,1,,1,,,,,
ガ ラ ス 工,,,人,0.16,0.24,,0.19,,0.28,,,,,
そ の 他,,,式,1,1,,1,,1,,,,,
