,屋根保護防水密着断熱工法 (１㎡当たり),,,,,,,,,,,
名 称,,,摘 要,単位,ＡⅠ－１,,ＡⅠ－２,,備,,考,
,,,,,平 面,,平 面,,,,,
アスファルトプライマー,,,,㎏,0.2,,0.2,,,,,
アスファルト,,,3種,㎏,6,,5,,,,,
アスファルトルーフィング,,,1500,㎡,2.28,,1.14,,,,,
ストレッチルーフィング,,,1000,㎡,2.28,,2.28,,,,,
フラットヤーンクロス,,,,㎡,1.1,,1.1,,,,,
断熱材,,,厚25㎜,㎡,1.04,,1.04,,,,,
燃料,,,重油,L,1.8,,1.5,,,,,
防水工,,,,人,0.1,,0.086,,,,,
普通作業員,,,,人,0.036,,0.031,,,,,
その他,,,,式,1,,1,,,,,
