,根切り 山留め付き総掘り 自立式(バックホウ0.8ｍ3)               (1ｍ3当たり),,,,,
名 称,,摘 要,単位,所要量,,備 考
バックホウ運転,,0.8ｍ3,日,0.0063,,
普通作業員,,,人,0.003,,
そ の 他,,,式,1,,
