壁モルタル塗り(下地モルタル) (1㎡当たり),,,,,,,,,,,,,,,,
名 称,適 要,,単位,,ﾕﾆｯﾄﾀｲﾙ下地,,,,外装タイル下地,,,内装タイル下地,,,,備 考
,,,,,外壁,,内壁,,外壁,,内壁,改良積上張り,,接着張り,,
セメント,,,kg,,10.9,,8.5,,9.5,,6.9,3.4,,6.4,,
細 骨 材,砂,,ｍ3,,0.026,,0.019,,0.022,,0.016,0.007,,0.014,,
左 官,,,人,,0.09,,0.07,,0.07,,0.06,0.03,,0.06,,
普通作業員,,,人,,0.032,,0.024,,0.027,,0.02,0.009,,0.018,,
そ の 他,,,式,,1,,1,,1,,1,1,,1,,
