型枠運搬 (100㎡当たり),,,,,,,,,,,,,,,,,,,,,,
名 称,,,摘 要,,,単位,,２階建以下,,,３階建以下,,,４階建以下,,,５階建以下,,,６階建以下,,備 考
トラック運転,,,4t積,,,日,,1.01,,,0.86,,,0.71,,,0.61,,,0.51,,
