,トラッククレーン(油圧伸縮ジブ型)分解部品運搬 (1往復当たり),,,,,,,,,,,,
名 称,,,摘 要,単位,100t吊,,120t吊,,,160t吊,200t吊,,備 考
トラック運転,,,11t積,日,3.7,,4.1,,,5.8,12.7,,
