,幅木テラゾブロック張り (1ｍ当たり),,,,,,
名 称,,摘 要,単位,厚25 900×75mm,,備 考,
テラゾブロック,,,ｍ,1,,,
セメント,,,kg,0.45,,,
砂,,,ｍ3,0.001,,,
石工,,,人,0.08,,,
普通作業員,,,人,0.05,,,
その他,,,式,1,,,
