,積込機械,,バックホウ 排出ガス対策型 油圧式クローラ型0.8ｍ3,,,,,,,,,,,,,,,,,,,,,,
,運搬機種,,ダンプトラック 10t積級,,,,,,,,,,,,,,,,,,,,,,
,ＤＩＤ区間：無し,,,,,,,,,,,,,,,,,,,,,,,,
,運搬距離 (km),,0.3 以下,0.5 以下,,1.0 以下,1.5 以下,2.0 以下,,3.0 以下,4.0 以下,5.5 以下,,,6.5 以下,7.5 以下,,9.5 以下,11.5 以下,15.5 以下,22.5 以下,49.5 以下,60.0 以下,,
,運搬日数,,0.035,0.039,,0.044,0.05,0.056,,0.067,0.077,0.091,,,0.111,0.125,,0.143,0.167,0.2,0.25,0.333,0.5,,
,ＤＩＤ区間：有り,,,,,,,,,,,,,,,,,,,,,,,,
,運搬距離 (km),,0.3 以下,0.5 以下,,1.0 以下,1.5 以下,2.0 以下,,3.0 以下,3.5 以下,5.0 以下,,,6.0 以下,7.0 以下,,8.5 以下,11.0 以下,14.0 以下,19.5 以下,31.5 以下,60.0 以下,,
,運搬日数,,0.035,0.039,,0.044,0.05,0.056,,0.067,0.077,0.091,,,0.111,0.125,,0.143,0.167,0.2,0.25,0.333,0.5,,
