,軽量鉄骨天井下地補強加算 (1㎡当たり),,,,,,,,,,,,,,,,,
名 称,,,,摘 要,,,単位,,ふところ1ｍ 加算,,,,ふところ2ｍ 加算,,,備 考,,
つりボルト 内 装 工 そ の 他,,,,,,,ｍ 人 式,,4.6 0.008 1,,,,6.1 0.01 1,,,,,
