,敷きならし(ブルドーザ3t級)                                (1ｍ3当たり),,,,,,
名 称,,,摘 要,単位,所要量,,備 考
ブルドーザ運転,,,3t級,日,0.0077,,
普通作業員,,,,人,0.003,,
そ の 他,,,,式,1,,
