名 称,摘 要,単位,Ａ種(屋外),,Ｂ種(屋内),備 考,
木部下塗り用調合 ペ イ ン ト,JASS 18 M-304,kg,0.019,,0.01,合成樹脂,
合成樹脂調合ペイント,JIS K 5516,kg,0.017,,0.017,1種淡彩,
合成樹脂エマルションパテ,JIS K 5669(耐水形),kg,―,,0.008,,
研 磨 紙,P120～220,枚,0.013,,0.02,,
塗 装 工,,人,0.027,,0.023,,
そ の 他,,式,1,,1,,
