,梁貫通孔補強鉄筋現場加工                       (1t当たり),,,,,,,,,
名 称,,摘 要,単位,太 物,細 物,,備 考,,,
鉄 筋 工 普 通 作 業 員 そ の 他,,,人 人 式,2.23 0.2 1,2.7 0.25 1,,,,,
