内部役物モルタル塗り (1ｍ当たり),,,,,,,,,,,,
名 称,,摘 要,,単位,,笠木 糸幅=160mm,,膳板 糸幅=150mm,,柱コーナー 加 算,梁コーナー 加 算,備 考
セメント,,,,kg,,2.1,,2,,─,─,
細 骨 材,,砂,,ｍ3,,0.005,,0.005,,─,─,
左 官,,,,人,,0.08,,0.07,,0.015,0.02,
普通作業員,,,,人,,0.005,,0.005,,─,─,
そ の 他,,,,式,,1,,1,,1,1,
