,名,,称,,摘 要,単位,小型構造物,,,備,,考
鉄,,筋,,工,,人,4.5,,,,,
普,通,作,業,員,,人,0.9,,,,,
結,,束,,線,#21,kg,6,,,,,
そ,,の,,他,,式,1,,,,,
