表,作業名,名称,摘要,単位,厚さ100㎜,厚さ120㎜,厚さ150㎜,厚さ190㎜,備考,注
表RA-8-3【設】,外壁コンクリートブロック帳壁(空洞ブロック16-Ｗ)	(1㎡当たり),建築用空洞ブロック,,個,13,13,13,13,,
表RA-8-3【設】,外壁コンクリートブロック帳壁(空洞ブロック16-Ｗ)	(1㎡当たり),セメント,,kg,13.1,16.6,24.2,35.3,,
表RA-8-3【設】,外壁コンクリートブロック帳壁(空洞ブロック16-Ｗ)	(1㎡当たり),細骨材,砂,ｍ3,0.03,0.03,0.05,0.07,,
表RA-8-3【設】,外壁コンクリートブロック帳壁(空洞ブロック16-Ｗ)	(1㎡当たり),鉄筋,Ｄ10,kg,1.6,1.6,1.6,1.6,,
表RA-8-3【設】,外壁コンクリートブロック帳壁(空洞ブロック16-Ｗ)	(1㎡当たり),鉄筋,Ｄ13,kg,4.0,4.0,4.0,4.0,,
表RA-8-3【設】,外壁コンクリートブロック帳壁(空洞ブロック16-Ｗ)	(1㎡当たり),建築ブロック工,,人,0.12,0.13,0.14,0.16,,
表RA-8-3【設】,外壁コンクリートブロック帳壁(空洞ブロック16-Ｗ)	(1㎡当たり),普通作業員,,人,0.06,0.07,0.08,0.11,,
表RA-8-3【設】,外壁コンクリートブロック帳壁(空洞ブロック16-Ｗ)	(1㎡当たり),その他,,式,1,1,1,1,,
