表,作業名,名称,摘要,単位,床(花こう岩)ひき石厚30-600×600mm,床(花こう岩)割石厚100-900×450mm,床(大理石)石厚20-500×500mm,備考,Unnamed:9
表RA-10-3【設】【専】,床の石張り(1ｍ3当たり),石材,,㎡,1.0,1.0,1.0,,
表RA-10-3【設】【専】,床の石張り(1ｍ3当たり),セメント,,kg,15.5,20.0,15.4,,
表RA-10-3【設】【専】,床の石張り(1ｍ3当たり),砂,,ｍ3,0.039,0.08,0.039,,
表RA-10-3【設】【専】,床の石張り(1ｍ3当たり),石工,,人,0.25,0.3,0.25,,
表RA-10-3【設】【専】,床の石張り(1ｍ3当たり),普通作業員,,人,0.23,0.27,0.23,,
表RA-10-3【設】【専】,床の石張り(1ｍ3当たり),その他,,式,1,1,1,,
