表,作業名,名称,摘要,単位,ｸﾗｯｼｬﾗﾝ,再生ｸﾗｯｼｬﾗﾝ,備考,注
別表RA-20-1-2【設】,砂利地業（1ｍ3当たり）,砂利,,ｍ3,1.1,1.1,,
別表RA-20-1-2【設】,砂利地業（1ｍ3当たり）,普通作業員,,人,0.2,0.2,,
別表RA-20-1-2【設】,砂利地業（1ｍ3当たり）,その他,,式,1,1,,
