表,作業名,名称,摘要,単位,一般(太物),一般(細物),備考,注
表RA-4-2【専】,鉄筋現場加工(1t当たり),鉄筋工,,人,0.32,0.92,,
表RA-4-2【専】,鉄筋現場加工(1t当たり),普通作業員,,人,0.06,0.18,,
表RA-4-2【専】,鉄筋現場加工(1t当たり),その他,,式,1,1,,
