表,作業名,名称,摘要,単位,厚8mm特寸2.18㎡以下,厚8mm特寸4.45㎡以下,厚8mm特寸6.81㎡以下,備考,注
表RA-16-12【専】,熱線吸収板ガラス(厚8mm)（1㎡当たり）,熱線吸収板ガラス,,㎡,1.03,1.03,1.03,,
表RA-16-12【専】,熱線吸収板ガラス(厚8mm)（1㎡当たり）,ガラス工,,人,0.13,0.19,0.23,,
表RA-16-12【専】,熱線吸収板ガラス(厚8mm)（1㎡当たり）,その他,,式,1,1,1,,
