表,作業名,名称,摘要,単位,厚6mm特寸2.18㎡以下,厚6mm特寸4.45㎡以下,厚8mm特寸2.18㎡以下,厚8mm特寸4.45㎡以下,備考,注
表RA-16-18【専】,熱線反射ガラス(厚6～8mm)（1㎡当たり）,熱線反射ガラス,,㎡,1.03,1.03,1.03,1.03,,
表RA-16-18【専】,熱線反射ガラス(厚6～8mm)（1㎡当たり）,ガラス工,,人,0.09,0.14,0.13,0.19,,
表RA-16-18【専】,熱線反射ガラス(厚6～8mm)（1㎡当たり）,その他,,式,1,1,1,1,,
