表,作業名,名称,摘要,単位,Ａ種,Ｂ種,備考,注
表RA-17-20【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)(1ｍ当たり）,ラッカー系シーラー,JISK5533,kg,0.01,0.01,ウッドシーラー,
表RA-17-20【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)(1ｍ当たり）,ラッカー系シーラー,JISK5533,kg,0.01,0.01,サンジングシーラー,
表RA-17-20【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)(1ｍ当たり）,ﾆﾄﾛｾﾙﾛｰｽﾗｯｶｰ,JISK5531(木材用ｸﾘﾔﾗｯｶｰ),kg,0.02,0.01,,
表RA-17-20【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)(1ｍ当たり）,目止め剤,ｸﾘﾔﾗｯｶ-塗り用,kg,0.02,―,,
表RA-17-20【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)(1ｍ当たり）,研磨紙,P120～220,枚,0.007,0.007,,
表RA-17-20【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)(1ｍ当たり）,研磨紙,P220～240,枚,0.013,0.013,,
表RA-17-20【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)(1ｍ当たり）,研磨紙,P240～320,枚,0.025,―,,
表RA-17-20【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)(1ｍ当たり）,塗装工,,人,0.041,0.024,,
表RA-17-20【市】,【標仕仕様】クリヤラッカー塗り(ＣＬ)(糸幅:300mm以下)(1ｍ当たり）,その他,,式,1,1,,
